Cód. Barras/Etiq.,Embalagem,Curva ABC Qtd.,Caderno de Ofertas,Custo Médio Unit.,Preço Venda Unit.,Preço Oferta
7891317445737,TROK N CR 30G,D,01 - Preço Controlado Plugpharma,"30,34","41,90","36,31"
7891317445737,TROK N CR 30G,D,02 - Preço Controlado Plugpharma,"31,84","41,90","36,31"
7891317445737,TROK N CR 30G,E,03 - Preço Controlado Plugpharma,"28,58","41,90","36,31"
7891317445744,TROK N POM 30G,D,01 - Preço Controlado Plugpharma,"30,04","41,90","72,62"
7891317445744,TROK N POM 30G,E,02 - Preço Controlado Plugpharma,"29,70","41,90","72,62"
7891317445744,TROK N POM 30G,E,03 - Preço Controlado Plugpharma,"28,94","41,90","72,62"
7891317446659,GN RISPERIDONA 3MG C/30 CPR EURO,B,BORA VENDER GENÉRICO 3.0,"12,27","70,84","295,08"
7891317446659,GN RISPERIDONA 3MG C/30 CPR EURO,E,BORA VENDER GENÉRICO 3.0,"12,60","70,84","98,36"
7891317446772,GN CLORIDRATO DE CICLOBENZAPRINA 10MG C/15 CPR REVEST EURO,B,01 - Preço Controlado Plugpharma,"6,70","21,12","118,24"
7891317446772,GN CLORIDRATO DE CICLOBENZAPRINA 10MG C/15 CPR REVEST EURO,B,02 - Preço Controlado Plugpharma,"6,77","21,12","192,14"
7891317446772,GN CLORIDRATO DE CICLOBENZAPRINA 10MG C/15 CPR REVEST EURO,C,03 - Preço Controlado Plugpharma,"6,98","21,12","44,34"
7891317446819,GN CLORIDRATO DE CICLOBENZAPRINA 5MG C/15 CPR REVEST EURO,B,01 - Preço Controlado Plugpharma,"5,84","18,95","119,34"
7891317446819,GN CLORIDRATO DE CICLOBENZAPRINA 5MG C/15 CPR REVEST EURO,B,02 - Preço Controlado Plugpharma,"5,85","18,95","92,82"
7891317446819,GN CLORIDRATO DE CICLOBENZAPRINA 5MG C/15 CPR REVEST EURO,D,03 - Preço Controlado Plugpharma,"5,92","18,95","39,78"
7891317448653,GN RISPERIDONA 1MG C/30 CPR REVEST EURO,C,BORA VENDER GENÉRICO 3.0,"9,06","70,41","199,98"
7891317448653,GN RISPERIDONA 1MG C/30 CPR REVEST EURO,D,BORA VENDER GENÉRICO 3.0,"10,19","70,41","66,66"
7891317448653,GN RISPERIDONA 1MG C/30 CPR REVEST EURO,E,BORA VENDER GENÉRICO 3.0,"12,26","70,41","199,98"
7891317448677,GN RISPERIDONA 2MG C/30 CPR REVEST EURO,C,BORA VENDER GENÉRICO 3.0,"9,22","70,41","232,50"
7891317448677,GN RISPERIDONA 2MG C/30 CPR REVEST EURO,E,BORA VENDER GENÉRICO 3.0,"8,81","70,41","155,00"
7891317448714,RISS 1MG C/30 CPR ,E,01 - Preço Controlado Plugpharma,"41,53","58,35","48,23"
7891317448714,RISS 1MG C/30 CPR ,E,02 - Preço Controlado Plugpharma,"39,80","58,35","48,23"
7891317448745,RISS 2MG C/30 CPR,D,02 - Preço Controlado Plugpharma,"40,66","58,35","48,23"
7891317448745,RISS 2MG C/30 CPR,E,01 - Preço Controlado Plugpharma,"40,60","58,35","48,23"
7891317448936,GN DESOGESTREL+ETINILESTRADIOL 150+20MCG EUROFARMA C/21 CPR,C,BORA VENDER GENÉRICO 3.0,"10,80","38,25","77,45"
7891317448943,GN DESOGESTREL+ETINILESTRADIOL EUROFARMA 150+30MCG C/21 CPR,C,BORA VENDER GENÉRICO 3.0,"9,52","30,62","76,55"
7891317448943,GN DESOGESTREL+ETINILESTRADIOL EUROFARMA 150+30MCG C/21 CPR,D,BORA VENDER GENÉRICO 3.0,"9,91","30,62","45,93"
7891317451035,"GN ATENOLOL+CLORTALIDONA 50+12,5MG C/30 CPR EURO",B,BORA VENDER GENÉRICO 3.0,"6,31","36,44","100,20"
7891317451035,"GN ATENOLOL+CLORTALIDONA 50+12,5MG C/30 CPR EURO",C,BORA VENDER GENÉRICO 3.0,"6,73","36,44","80,16"
7891317451417,"ZART H 50+12,5MG C/30 CPR",C,02 - Preço Controlado Plugpharma,"37,08","53,25","44,01"
7891317451417,"ZART H 50+12,5MG C/30 CPR",E,01 - Preço Controlado Plugpharma,"38,39","53,25","88,02"
7891317451752,"ASTRO 1500MG SUSP ORAL 37,5ML",E,01 - Preço Controlado Plugpharma,"55,15","78,67","272,68"
7891317451752,"ASTRO 1500MG SUSP ORAL 37,5ML",E,02 - Preço Controlado Plugpharma,"54,34","78,67","136,34"
7891317452230,GN CILOSTAZOL 100MG C/60 CPR EURO,B,BORA VENDER GENÉRICO 3.0,"27,37","96,98","183,12"
7891317452230,GN CILOSTAZOL 100MG C/60 CPR EURO,C,BORA VENDER GENÉRICO 3.0,"27,39","96,98","457,80"
7891317452650,TROK G CR 30G,C,PROPAGADO ,"23,65","33,03","57,24"
7891317452650,TROK G CR 30G,D,PROPAGADO ,"23,77","33,03","114,48"
7891317452933,TROK G POM 30G,D,01 - Preço Controlado Plugpharma,"23,65","33,03","85,86"
7891317452933,TROK G POM 30G,D,02 - Preço Controlado Plugpharma,"23,86","33,03","28,62"
7891317452933,TROK G POM 30G,E,03 - Preço Controlado Plugpharma,"23,38","33,03","28,62"
7891317452964,GN MESILATO DE DOXAZOSINA 2MG C/30 CPR EURO ,B,BORA VENDER GENÉRICO 3.0,"9,06","56,65","358,02"
7891317452971,GN DOMPERIDONA 1MG/ML 100ML EURO,C,BORA VENDER GENÉRICO 3.0,"12,54","51,91","143,70"
7891317452971,GN DOMPERIDONA 1MG/ML 100ML EURO,E,BORA VENDER GENÉRICO 3.0,"10,56","51,91","143,70"
7891317452995,GN DOMPERIDONA 10MG C/30 CPR EURO,B,BORA VENDER GENÉRICO 3.0,"4,63","22,01","222,11"
7891317453008,GN DOMPERIDONA 10MG C/60 CPR EURO,B,BORA VENDER GENÉRICO 3.0,"8,20","40,57","593,01"
7891317454371,GN TRIANCINOLONA+NEOMICINA+GRAM+NISTATINA CR 30G EURO,E,BORA VENDER GENÉRICO 3.0,"9,79","44,44","62,22"
7891317455040,DOMPERIX 10MG C/30 CPR,E,02 - Preço Controlado Plugpharma,"15,45","30,52","26,45"
7891317455569,DUOMO 2MG C/30 CPR,C,03 - Preço Controlado Plugpharma,"29,40","42,32","104,94"
7891317455569,DUOMO 2MG C/30 CPR,D,01 - Preço Controlado Plugpharma,"29,26","42,32","69,96"
7891317455569,DUOMO 2MG C/30 CPR,D,02 - Preço Controlado Plugpharma,"29,56","42,32","69,96"
7891317457211,ZINA 5MG C/10 CPR REVEST,E,01 - Preço Controlado Plugpharma,"40,19","56,88","49,29"
7891317457211,ZINA 5MG C/10 CPR REVEST,E,02 - Preço Controlado Plugpharma,"40,18","56,88","49,29"
7891317457266,GN DICLORIDRATO DE LEVOCETIRIZINA 5MG C/10 CPR REVEST EURO,C,BORA VENDER GENÉRICO 3.0,"15,24","42,75","147,72"
7891317457266,GN DICLORIDRATO DE LEVOCETIRIZINA 5MG C/10 CPR REVEST EURO,D,BORA VENDER GENÉRICO 3.0,"15,33","42,75","73,86"
7891317460495,NOEX 64MCG SOL NASAL C/120 DOSE,E,01 - Preço Controlado Plugpharma,"54,00","79,19","130,90"
7891317460495,NOEX 64MCG SOL NASAL C/120 DOSE,E,02 - Preço Controlado Plugpharma,"57,83","79,19","65,45"
7891317460518,NOEX 50MCG SOL NASAL C/200 DOSE,C,PROPAGADO ,"53,62","77,89","128,76"
7891317460518,NOEX 50MCG SOL NASAL C/200 DOSE,E,PROPAGADO ,"52,91","77,89","193,14"
7891317460532,NOEX 32MCG SOL NASAL C/120 DOSE,E,01 - Preço Controlado Plugpharma,"29,10","44,76","36,99"
7891317460532,NOEX 32MCG SOL NASAL C/120 DOSE,E,02 - Preço Controlado Plugpharma,"28,18","44,76","73,98"
7891317460532,NOEX 32MCG SOL NASAL C/120 DOSE,E,03 - Preço Controlado Plugpharma,"29,55","44,76","110,97"
7891317461089,GN AMOXICILINA+CLAVULANATO 875+125MG C/20 CPR REVEST(EUR),C,BORA VENDER GENÉRICO 3.0,"57,06","118,06","446,34"
7891317461089,GN AMOXICILINA+CLAVULANATO 875+125MG C/20 CPR REVEST(EUR),D,BORA VENDER GENÉRICO 3.0,"57,34","118,06","743,90"
7891317463076,GN CLORIDRATO DE VENLAFAXINA 150MG C/30 CAPS EURO,B,BORA VENDER GENÉRICO 3.0,"38,89","320,85","949,00"
7891317463076,GN CLORIDRATO DE VENLAFAXINA 150MG C/30 CAPS EURO,D,BORA VENDER GENÉRICO 3.0,"39,14","320,85","379,60"
7891317463076,GN CLORIDRATO DE VENLAFAXINA 150MG C/30 CAPS EURO,E,BORA VENDER GENÉRICO 3.0,"39,15","320,85","94,90"
7891317464004,NOEX 100MCG SOL NASAL C/100 DOSE,E,03 - Preço Controlado Plugpharma,"52,75","77,89","64,38"
7891317464523,"GN CLORIDRATO DE VENLAFAXINA 37,5MG C/30 CAPS EURO",C,02 - Preço Controlado Plugpharma,"13,92","96,76","132,32"
7891317464523,"GN CLORIDRATO DE VENLAFAXINA 37,5MG C/30 CAPS EURO",E,01 - Preço Controlado Plugpharma,"14,16","96,76","66,16"
7891317465049,TAMISA 20 C/21 CPR,D,01 - Preço Controlado Plugpharma,"26,51","38,32","158,35"
7891317465049,TAMISA 20 C/21 CPR,D,02 - Preço Controlado Plugpharma,"24,22","38,32","221,69"
7891317465049,TAMISA 20 C/21 CPR,E,03 - Preço Controlado Plugpharma,"25,84","38,32","31,67"
7891317465346,"VENLAXIN 37,5MG C/30 CAPS",E,02 - Preço Controlado Plugpharma,"34,62","50,56","83,58"
7891317465643,GN TRIANCINOLONA ACETONIDA 1MG/G POM 10G EURO ,B,BORA VENDER GENÉRICO 3.0,"5,72","15,75","372,60"
7891317465667,SELENE C/21 CPR ,C,01 - Preço Controlado Plugpharma,"24,70","35,58","88,23"
7891317465667,SELENE C/21 CPR ,D,02 - Preço Controlado Plugpharma,"24,56","35,58","176,46"
7891317469238,SINOT CLAV 400+57MG/5ML SUSP ORAL 70ML ,E,01 - Preço Controlado Plugpharma,"55,38","82,92","143,70"
7891317472009,GN BROMIDRATO DE CITALOPRAM 20MG C/30 CPR EURO,C,BORA VENDER GENÉRICO 3.0,"8,56","90,19","197,45"
7891317472054,HEIMER 10MG C/30 CPR,E,03 - Preço Controlado Plugpharma,"44,75","65,04","107,52"
7891317472061,HEIMER 10MG C/60 CPR,D,03 - Preço Controlado Plugpharma,"63,35","87,30","144,30"
7891317472061,HEIMER 10MG C/60 CPR,E,01 - Preço Controlado Plugpharma,"59,47","87,30","72,15"
7891317472061,HEIMER 10MG C/60 CPR,E,02 - Preço Controlado Plugpharma,"60,76","87,30","72,15"
7891317472139,GN CLORIDRATO DE MEMANTINA 10MG C/60 CPR REVEST EURO,C,BORA VENDER GENÉRICO 3.0,"14,60","223,61","79,76"
7891317472139,GN CLORIDRATO DE MEMANTINA 10MG C/60 CPR REVEST EURO,D,BORA VENDER GENÉRICO 3.0,"14,60","223,61","79,76"
7891317472337,VENLAXIN 150MG C/30 CAPS ,E,01 - Preço Controlado Plugpharma,"114,40","167,91","277,56"
7891317472375,VENLAXIN 75MG C/30 CAPS ,E,01 - Preço Controlado Plugpharma,"81,14","118,49","195,86"
7891317472375,VENLAXIN 75MG C/30 CAPS ,E,02 - Preço Controlado Plugpharma,"80,68","118,49","97,93"
7891317473679,GN LAMOTRIGINA 50MG C/30 CPR EURO,E,BORA VENDER GENÉRICO 3.0,"10,56","91,61","181,02"
7891317473709,GN LAMOTRIGINA 100MG C/30 CPR EURO,E,BORA VENDER GENÉRICO 3.0,"16,52","159,71","175,08"
7891317475222,SIBUS 15MG C/60 CAPS,E,01 - Preço Controlado Plugpharma,"72,44","103,43","85,48"
7891317476465,GN OXALATO DE ESCITALOPRAM 10MG C/30 CPR REVEST EURO,B,01 - Preço Controlado Plugpharma,"7,75","62,58","206,52"
7891317476465,GN OXALATO DE ESCITALOPRAM 10MG C/30 CPR REVEST EURO,B,02 - Preço Controlado Plugpharma,"7,74","62,58","1.239,12"
7891317476465,GN OXALATO DE ESCITALOPRAM 10MG C/30 CPR REVEST EURO,E,03 - Preço Controlado Plugpharma,"7,89","62,58","68,84"
7891317476526,GN OXALATO DE ESCITALOPRAM 20MG C/30 CPR REVEST EURO,B,BORA VENDER GENÉRICO 3.0,"16,29","235,54","1.098,00"
7891317476526,GN OXALATO DE ESCITALOPRAM 20MG C/30 CPR REVEST EURO,D,BORA VENDER GENÉRICO 3.0,"22,42","235,54","109,80"
7891317476588,ESC 10MG C/30 CPR REVEST,D,PROPAGADO ,"58,82","85,42","353,00"
7891317476649,ESC 20MG C/30 CPR REVEST,E,01 - Preço Controlado Plugpharma,"112,91","166,14","274,62"
7891317476649,ESC 20MG C/30 CPR REVEST,E,02 - Preço Controlado Plugpharma,"116,31","166,14","274,62"
7891317476663,ESC 10MG C/60 CPR REVEST,D,02 - Preço Controlado Plugpharma,"87,15","127,41","210,60"
7891317476663,ESC 10MG C/60 CPR REVEST,D,03 - Preço Controlado Plugpharma,"86,84","127,41","105,30"
7891317476663,ESC 10MG C/60 CPR REVEST,E,01 - Preço Controlado Plugpharma,"86,36","127,41","105,30"
7891317477172,PIEMONTE 5MG C/30 CPR,E,01 - Preço Controlado Plugpharma,"50,20","74,57","61,63"
7891317477172,PIEMONTE 5MG C/30 CPR,E,02 - Preço Controlado Plugpharma,"49,97","74,57","61,63"
7891317477202,PIEMONTE 4MG C/30 CPR,E,01 - Preço Controlado Plugpharma,"50,21","74,57","61,63"
7891317477271,GN MONTELUCASTE DE SODIO 5MG C/30 CPR EURO,C,BORA VENDER GENÉRICO 3.0,"24,09","112,74","149,61"
7891317477271,GN MONTELUCASTE DE SODIO 5MG C/30 CPR EURO,D,BORA VENDER GENÉRICO 3.0,"25,28","112,74","199,48"
7891317477301,GN MONTELUCASTE DE SODIO 4MG C/30 CPR EURO,C,BORA VENDER GENÉRICO 3.0,"32,72","112,74","199,60"
7891317477301,GN MONTELUCASTE DE SODIO 4MG C/30 CPR EURO,D,BORA VENDER GENÉRICO 3.0,"30,78","112,74","249,50"
7891317477592,GN CITRATO DE SILDENAFILA 50MG C/4 CPR EURO,A,PROMOÇOES LEVE E PAGUE ,"1,77","31,91","696,57"
7891317477592,GN CITRATO DE SILDENAFILA 50MG C/4 CPR EURO,B,PROMOÇOES LEVE E PAGUE ,"1,81","31,91","539,28"
7891317477608,GN CITRATO DE SILDENAFILA 50MG C/8CP,E,BORA VENDER GENÉRICO 3.0,"3,41","124,47","33,96"
7891317478766,GN DICLORIDRATO DE BETAISTINA 16MG C/30CPR EURO,B,01 - Preço Controlado Plugpharma,"7,52","28,08","78,64"
7891317478766,GN DICLORIDRATO DE BETAISTINA 16MG C/30CPR EURO,B,03 - Preço Controlado Plugpharma,"7,03","28,08","58,98"
7891317478766,GN DICLORIDRATO DE BETAISTINA 16MG C/30CPR EURO,C,02 - Preço Controlado Plugpharma,"7,80","28,08","58,98"
7891317478810,GN DICLORIDRATO DE BETAISTINA 24MG C/30 CPR EURO,B,01 - Preço Controlado Plugpharma,"10,21","37,63","158,04"
7891317478810,GN DICLORIDRATO DE BETAISTINA 24MG C/30 CPR EURO,B,02 - Preço Controlado Plugpharma,"10,24","37,63","500,46"
7891317478810,GN DICLORIDRATO DE BETAISTINA 24MG C/30 CPR EURO,B,03 - Preço Controlado Plugpharma,"10,18","37,63","105,36"
7891317478919,BETINA 16MG C/30 CPR,E,01 - Preço Controlado Plugpharma,"20,51","29,03","25,15"
7891317478919,BETINA 16MG C/30 CPR,E,02 - Preço Controlado Plugpharma,"21,12","29,03","125,75"
7891317478964,BETINA 24MG C/30 CPR,E,01 - Preço Controlado Plugpharma,"27,46","38,90","67,42"
7891317478964,BETINA 24MG C/30 CPR,E,02 - Preço Controlado Plugpharma,"20,43","38,90","33,71"
7891317481629,GN CLORIDRATO DE SIBUTRAMINA 15MG C/30 CAPS DURA EURO,D,BORA VENDER GENÉRICO 3.0,"15,89","92,20","36,80"
7891317481629,GN CLORIDRATO DE SIBUTRAMINA 15MG C/30 CAPS DURA EURO,E,BORA VENDER GENÉRICO 3.0,"23,98","92,20","184,00"
7891317481636,GN CLORIDRATO DE SIBUTRAMINA 10MG C/30 CAPS DURA EURO,E,01 - Preço Controlado Plugpharma,"14,14","74,62","410,40"
7891317481636,GN CLORIDRATO DE SIBUTRAMINA 10MG C/30 CAPS DURA EURO,E,02 - Preço Controlado Plugpharma,"17,06","74,62","82,08"
7891317484330,GN OLANZAPINA 5MG C/30 CPR EURO,D,BORA VENDER GENÉRICO 3.0,"22,26","378,54","401,34"
7891317484330,GN OLANZAPINA 5MG C/30 CPR EURO,E,BORA VENDER GENÉRICO 3.0,"22,59","378,54","133,78"
7891317485320,TAMIRAM 750MG C/7 CPR REVEST,E,02 - Preço Controlado Plugpharma,"128,25","178,28","154,48"
7891317485764,DUOMO HP 2+5MG C/60 CAPS DURA,D,PROPAGADO ,"139,21","196,30","162,86"
7891317485764,DUOMO HP 2+5MG C/60 CAPS DURA,E,PROPAGADO ,"142,48","196,30","325,72"
7891317485801,DUOMO HP 2+5MG C/30 CAPS DURA,D,PROPAGADO ,"115,23","160,90","268,74"
7891317485801,DUOMO HP 2+5MG C/30 CAPS DURA,E,PROPAGADO ,"117,50","160,90","537,48"
7891317488390,"GN IRBESARTANA 300MG+HIDROCLOROTIAZIDA 12,5MG C/30 CPR EURO",E,BORA VENDER GENÉRICO 3.0,"70,14","134,64","457,76"
7891317488833,GN NITRATO DE FENTICONAZOL CR VAG 40G+7 APLIC EURO,D,BORA VENDER GENÉRICO 3.0,"17,22","53,19","59,82"
7891317488833,GN NITRATO DE FENTICONAZOL CR VAG 40G+7 APLIC EURO,E,BORA VENDER GENÉRICO 3.0,"16,45","53,19","29,91"
7891317489328,GN ATORVASTATINA CALCICA 10MG C/30 CPR EURO,B,BORA VENDER GENÉRICO 3.0,"8,35","73,85","359,52"
7891317489328,GN ATORVASTATINA CALCICA 10MG C/30 CPR EURO,D,BORA VENDER GENÉRICO 3.0,"9,60","73,85","29,96"
7891317489366,GN ATORVASTATINA CALCICA 20MG C/30 CPR REVEST EURO,B,BORA VENDER GENÉRICO 3.0,"10,63","73,85","786,37"
7891317489366,GN ATORVASTATINA CALCICA 20MG C/30 CPR REVEST EURO,C,BORA VENDER GENÉRICO 3.0,"10,52","73,85","205,14"
7891317489403,GN ATORVASTATINA CALCICA 40MG C/30 CPR EURO,B,BORA VENDER GENÉRICO 3.0,"17,87","147,73","840,00"
7891317489403,GN ATORVASTATINA CALCICA 40MG C/30 CPR EURO,C,BORA VENDER GENÉRICO 3.0,"18,33","147,73","120,00"
7891317489533,FLUXENE 20MG C/28 CAPS,E,02 - Preço Controlado Plugpharma,"38,42","116,32","192,24"
7891317489595,GINNA CR VAG 40G C/7 APLIC,E,01 - Preço Controlado Plugpharma,"36,57","48,04","83,26"
7891317489595,GINNA CR VAG 40G C/7 APLIC,E,02 - Preço Controlado Plugpharma,"36,60","48,04","41,63"
7891317490003,GN PROMESTRIENO 10MG/G CR VAG 30G+20 APLIC EURO,C,BORA VENDER GENÉRICO 3.0,"36,13","71,21","199,24"
7891317490003,GN PROMESTRIENO 10MG/G CR VAG 30G+20 APLIC EURO,D,BORA VENDER GENÉRICO 3.0,"36,13","71,21","298,86"
7891317490133,ANTROFI 10MG/G CR VAG 30G C/20 APLIC ,E,01 - Preço Controlado Plugpharma,"68,41","98,91","257,13"
7891317490133,ANTROFI 10MG/G CR VAG 30G C/20 APLIC ,E,02 - Preço Controlado Plugpharma,"67,55","98,91","85,71"
7891317496241,BENZETACIL 12000U+3000U/ML C/1 AMP 4ML,E,02 - Preço Controlado Plugpharma,"14,83","20,67","17,91"
7891317496388,GN ENANTATO DE NORETISTERONA+VAL DE ESTRADIOL 50+5MG/ML INJ ,B,01 - Preço Controlado Plugpharma,"10,62","28,35","63,78"
7891317496388,GN ENANTATO DE NORETISTERONA+VAL DE ESTRADIOL 50+5MG/ML INJ ,E,02 - Preço Controlado Plugpharma,"11,10","28,35","42,52"
7891317496760,PLAQ 75MG C/30 CPR ,D,03 - Preço Controlado Plugpharma,"46,70","67,50","55,79"
7891317496760,PLAQ 75MG C/30 CPR ,E,01 - Preço Controlado Plugpharma,"45,44","67,50","55,79"
7891317496760,PLAQ 75MG C/30 CPR ,E,02 - Preço Controlado Plugpharma,"45,48","67,50","55,79"
7891317498764,PANTOCAL 20MG C/28 CPR,D,02 - Preço Controlado Plugpharma,"81,75","115,42","190,78"
7891317498764,PANTOCAL 20MG C/28 CPR,E,01 - Preço Controlado Plugpharma,"78,40","115,42","95,39"
7891317922535,HOLMES 40MG C/30 CPR REVEST,C,01 - Preço Controlado Plugpharma,"35,39","51,22","126,99"
7891317922535,HOLMES 40MG C/30 CPR REVEST,C,02 - Preço Controlado Plugpharma,"34,92","51,22","126,99"
7891317922535,HOLMES 40MG C/30 CPR REVEST,E,03 - Preço Controlado Plugpharma,"25,30","51,22","84,66"
7891317922580,HOLMES 20MG C/30 CPR,C,01 - Preço Controlado Plugpharma,"28,74","48,72","120,81"
7891317922580,HOLMES 20MG C/30 CPR,C,03 - Preço Controlado Plugpharma,"34,34","48,72","120,81"
7891317922580,HOLMES 20MG C/30 CPR,E,02 - Preço Controlado Plugpharma,"30,48","48,72","40,27"
7891334109018,ABAIXADOR DE LINGUA THEOTO C/100 ,E,,"5,46","12,90","167,70"
7891350000092,ESPUMA BARBEAR BOZZANO HIDRATACAO 200ML,E,,"15,18","22,50","67,50"
7891350000115,ESPUMA BARBEAR BOZZANO REFRESCANTE 200ML,E,,"13,33","24,90","24,90"
7891350002409,CR BARBEAR BOZZANO REFRESCANTE 65G,E,,"6,18","9,50","76,00"
7891350011043,CR BARBEAR BOZZANO ALOE VERA 65G,E,,"6,51","9,50","9,50"
7891350011623,CR BARBEAR BOZZANO PELE SENSIVEL 65G,C,,"6,54","9,50","47,50"
7891350011623,CR BARBEAR BOZZANO PELE SENSIVEL 65G,D,,"6,58","9,50","38,00"
7891350025187,ESPUMA BARBEAR BOZZANO PELE SENSIVEL 200ML,E,,"12,88","22,50","135,00"
7891350026627,LOCAO POS BARBA BOZZANO NIGHT BLUE 100ML,E,,"21,46","29,90","29,90"
7891350032406,DES AERO MAN BOZZANO SENSITIVE S/PERFUME 150ML,B,,"7,03","9,99","699,30"
7891350032406,DES AERO MAN BOZZANO SENSITIVE S/PERFUME 150ML,C,,"6,97","9,99","19,98"
7891350032741,DES AERO MAN BOZZANO FRESH 150ML,B,,"6,99","9,99","859,14"
7891350032857,DES AERO MAN BOZZANO EXTREME 150ML ,B,,"7,01","9,99","979,02"
7891350032857,DES AERO MAN BOZZANO EXTREME 150ML ,C,,"6,84","9,99","49,95"
7891350032970,DES AERO MAN BOZZANO INVISIBLE 150ML,A,,"7,04","9,99","439,56"
7891350032970,DES AERO MAN BOZZANO INVISIBLE 150ML,B,,"6,99","9,99","289,71"
7891350032970,DES AERO MAN BOZZANO INVISIBLE 150ML,E,,"6,84","9,99","29,97"
7891350033410,TIN BIOCOLOR PRETO FUNDO 1.0 ,C,,"7,59","11,90","59,50"
7891350033427,TIN BIOCOLOR PRETO AZULADO 2.0,E,,"7,69","11,90","11,90"
7891350033434,TIN BIOCOLOR CASTANHO ESCURO 3.0,E,,"4,39","11,90","11,90"
7891350033441,TIN BIOCOLOR CASTANHO MEDIO,D,,"7,62","11,90","23,80"
7891350033472,TINTA BIOCOLOR CASTANHO CLARO 5.0,D,,"7,21","11,90","23,80"
7891350033496,TIN BIOCOLOR LOURO ESCURO 6.0,E,,"1,28","11,90","11,90"
7891350033533,TIN BIOCOLOR LOURO MEDIO 7.0 ,E,,"5,44","11,90","23,80"
7891350033663,DES AVANCO SPRAY ORIGINAL 85ML,E,,"5,71","7,90","7,90"
7891350033717,DES TRES MARCHAND AERO MEN CLASSIC 150ML,E,,"6,10","13,50","13,50"
7891350033724,DES AERO TRES MARCHAND BLACK 150ML,E,,"6,00","13,90","55,60"
7891350034042,ESM RISQUE AZULIVRE MENTE 8ML,D,,"3,13","4,60","23,00"
7891350034042,ESM RISQUE AZULIVRE MENTE 8ML,E,,"3,24","4,60","27,60"
7891350034059,ESM RISQUE VIOLETRAZ O NOVO 8ML,C,,"3,09","4,60","9,20"
7891350034059,ESM RISQUE VIOLETRAZ O NOVO 8ML,E,,"3,24","4,60","18,40"
7891350034066,ESM RISQUE VER DE VERDADE 8ML,C,,"3,09","4,60","13,80"
7891350034066,ESM RISQUE VER DE VERDADE 8ML,E,,"3,01","4,60","55,20"
7891350034073,ESM RISQUE LAVANDA ALMA 8ML,C,,"3,13","4,60","36,80"
7891350034080,ESM RISQUE AMARELINDO 8ML,E,,"3,25","4,60","13,80"
7891350034288,ESM RISQUE NUDES BRILHO BRILHO MEU 8ML,E,,"2,90","4,60","18,40"
7891350034295,ESM RISQUE LINDA LEVE E NUDE 8ML,D,,"3,13","4,60","36,80"
7891350034295,ESM RISQUE LINDA LEVE E NUDE 8ML,E,,"3,13","4,60","46,00"
7891350034318,ESM RISQUE COTA PROVOCA 8ML,E,,"3,14","4,60","41,40"
7891350034615,DES AERO MONANGE SENSIVEL 150ML,B,,"6,99","9,99","1.058,94"
7891350034615,DES AERO MONANGE SENSIVEL 150ML,D,,"6,84","9,99","39,96"
7891350034622,DES AERO MONANGE FLOR DE LAVANDA 150ML,A,,"7,01","9,99","149,85"
7891350034622,DES AERO MONANGE FLOR DE LAVANDA 150ML,B,,"6,94","9,99","409,59"
7891350034639,DES AERO MONANGE FRUTAS VERMELHAS 150ML,A,,"7,00","9,99","819,18"
7891350034646,DES AERO MONANGE HIDRAT INTENSA 150ML,A,,"7,03","9,99","209,79"
7891350034646,DES AERO MONANGE HIDRAT INTENSA 150ML,B,,"6,99","9,99","639,36"
7891350034646,DES AERO MONANGE HIDRAT INTENSA 150ML,C,,"6,90","9,99","29,97"
7891350034820,SAB LIQ INTIMO LUCRETIN FRESH 200ML,E,,"10,80","18,90","37,80"
7891350034868,GEL FIX BOZZANO ACAO PROLONGADA 300G,C,,"9,12","17,90","107,40"
7891350034936,GEL FIX NYLOOKS ROSA 240G,E,,"6,19","10,50","-10,50"
7891350034950,GEL FIX NYLOOKS AZUL 240G,E,,"5,76","9,90","19,80"
7891350036718,BALM HIDRAT BOZZANO BARBA/BIGODE 90G,E,,"12,52","24,90","49,80"
7891350036732,CERA MODELADORA BOZZANO 80G,D,,"15,99","25,90","25,90"
7891350037036,"ESM RISQUE DIAMOND GEL SAL ROSA 9,5ML",D,,"6,62","9,90","9,90"
7891350037104,"ESM RISQUE DIAMOND GEL CREME DE PITAYA 9,5ML",E,,"6,62","9,90","49,50"
7891350037135,"ESM RISQUE DIAMOND GEL VERMELHO RUBI 9,5ML",E,,"6,62","9,90","19,80"
7891350037166,"ESM RISQUE GEL CALDA DE BLUEBERRY 9,5ML",D,,"6,62","9,90","29,70"
7891350037173,"ESM RISQUE DIAMOND GEL PRETO CAVIAR 9,5ML",D,,"6,62","9,90","29,70"
7891350037197,"ESM RISQUE DIAMOND GEL TOP COAT FIXADOR PASSO 2 9,5ML",B,,"9,81","13,90","69,50"
7891350037197,"ESM RISQUE DIAMOND GEL TOP COAT FIXADOR PASSO 2 9,5ML",C,,"9,81","13,90","55,60"
7891350037449,TIN KOLESTON PRETO INFINITO COR 10 ,C,,"15,72","19,90","79,60"
7891350037449,TIN KOLESTON PRETO INFINITO COR 10 ,E,,"14,99","19,90","59,70"
7891350037463,TIN KOLESTON CASTANHO COBRE COR 641,E,,"13,49","19,90","19,90"
7891350037487,ESM RISQUE TECHNOLOGY SERUM REPARADOR 8ML,D,,"5,58","7,50","45,00"
7891350037487,ESM RISQUE TECHNOLOGY SERUM REPARADOR 8ML,E,,"5,19","7,50","37,50"
