ean,name,curve,book,price,drogal_price,drogasil_price,drogal_observation,drogasil_observation
"7891317181611","FILINAR  50MG/5ML XPE ADT 120ML","E","02 - Preço Controlado Plugpharma","37,05","35,19","38,79","",""
"7891317189068","GN AMOXICILINA 875MG (EURO)","E","02 - Preço Controlado Plugpharma","90,52","106,49","","",""
"7891317189631","GN CLORIDRATO DE BUPROPIONA 150MG C/30 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","68,68","","","",""
"7891317189648","GN CLORIDRATO DE BUPROPIONA 150MG C/60 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","79,88","","","",""
"7891317189884","PERLATTE  C/30 CPR","E","PROPAGADO","52,04","60,10","75,99","","Leve 2 unidades por R$ 56,99 cada"
"7891317191658","FORITUS 500MG C/14 CPR","E","03 - Preço Controlado Plugpharma","47,87","51,59","49,79","",""
"7891317191665","ESC GOTAS 15ML","E","02 - Preço Controlado Plugpharma","80,88","83,29","89,99","",""
"7891317191689","QUET 25MG CPR C/30 CPR","E","03 - Preço Controlado Plugpharma","43,45","46,49","48,19","",""
"7891317191696","QUET 100MG C/30 CPR REVEST","E","02 - Preço Controlado Plugpharma","111,97","119,79","120,99","",""
"7891317191702","QUET 200MG C/30 CPR","E","02 - Preço Controlado Plugpharma","227,22","","","",""
"7891317191733","GN CLORIDRATO DE CIPROFLOXACINO 500MG C/14 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","33,46","51,48","","",""
"7891317191740","GN OXALATO DE ESCITALOPRAM 20MG/ML 15mL EURO","E","BORA VENDER GENÉRICO 3.0","70,64","","62,99","",""
"7891317191757","GN ITRACONAZOL 100MG C/4 CPS DURA(EUR)","E","02 - Preço Controlado Plugpharma","32,53","23,69","18,49","Leve 5 e pague R$14,21 cada",""
"7891317191771","GN HEMIFUMARATO DE QUETIAPINA 25MG C/30 CPR REVEST EURO","C","01 - Preço Controlado Plugpharma","33,53","55,89","29,09","",""
"7891317191788","GN HEMIFUMARATO DE QUETIAPINA 100MG C/30 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","94,05","139,50","61,99","",""
"7891317192389","COGMAX C/60 CPS MOLE","D","EUROFARMA - PROPAGADO","129,90","","","",""
"7891317192402","MAQ DERMA C/30 CPS GEL","E","","94,90","","75,99","",""
"7891317192792","SINOT CLAV SUSP 400/57MG/5ML C/140ML","E","02 - Preço Controlado Plugpharma","143,57","137,49","142,49","",""
"7891317192822","GN PARACETAMOL+FOSFATO DE CODEINA 500+30MG C/36 CPR EURO","E","BORA VENDER GENÉRICO 3.0","50,34","29,82","","",""
"7891317193164","GN ITRACONAZOL 100MG C/15 CAPS DURA EURO","D","BORA VENDER GENÉRICO 3.0","58,99","46,59","49,99","Leve 5 e pague R$27,95 cada",""
"7891317197483","DON 5MG C/30 CPR REVEST","E","03 - Preço Controlado Plugpharma","80,66","82,99","87,99","",""
"7891317197506","DON 10MG C/30 CPR REVEST","E","02 - Preço Controlado Plugpharma","80,66","85,09","87,99","",""
"7891317408060","GN CLORIDRATO DE AMITRIPTILINA 25MG C/20 CPR REVEST EURO","E","02 - Preço Controlado Plugpharma","11,18","21,23","","",""
"7891317411909","PERCOF 6MG/ML XPE FRAMBOESA 120ML","E","PROPAGADO","39,71","39,69","41,79","",""
"7891317411923","PROFLAM 100MG C/12 CPR REVEST","E","02 - Preço Controlado Plugpharma","67,02","68,99","70,99","",""
"7891317412531","TROK N 20+0,64+2,5MG/G CREME 10G","E","02 - Preço Controlado Plugpharma","18,91","19,19","19,89","",""
"7891317412548","TROK POMADA 10G","E","02 - Preço Controlado Plugpharma","17,09","","","",""
"7891317412555","TROK N POM 10G","E","03 - Preço Controlado Plugpharma","17,99","18,59","18,89","",""
"7891317412661","PROFLAM 15MG/G CR 30G","E","03 - Preço Controlado Plugpharma","45,22","46,39","49,88","",""
"7891317412692","ASTRO 600MG SUSP ORAL 9ML","E","03 - Preço Controlado Plugpharma","47,87","49,09","49,79","",""
"7891317412708","ASTRO 500MG C/3 CPR REVEST","E","03 - Preço Controlado Plugpharma","21,49","21,59","23,19","",""
"7891317414139","GN LEVOFLOXACINO 500MG C/7 CPR REVEST EURO","D","BORA VENDER GENÉRICO 3.0","44,59","33,39","29,60","",""
"7891317414221","GN LEVOFLOXACINO 500MG C/10 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","57,93","116,69","131,50","",""
"7891317415129","LUBRIFICANTE INTRA GEL 50G","E","","16,50","11,79","","",""
"7891317420338","GN CLORIDRATO DE PAROXETINA 20MG C/30 CPR REVEST EURO","E","01 - Preço Controlado Plugpharma","40,17","19,39","18,19","",""
"7891317420833","ASTRO 500MG C/2 CPR REVEST","E","02 - Preço Controlado Plugpharma","14,32","15,59","15,59","",""
"7891317420840","ASTRO 500MG C/5 CPR REVEST","E","03 - Preço Controlado Plugpharma","35,80","34,39","40,19","",""
"7891317421526","PONDERA 10MG C/20 CPR REVEST","D","02 - Preço Controlado Plugpharma","58,65","57,79","61,59","",""
"7891317421557","PONDERA 15MG C/20 CPR REVEST","E","02 - Preço Controlado Plugpharma","58,66","58,99","63,59","",""
"7891317421595","PONDERA 25MG C/20 CPR REVEST","E","03 - Preço Controlado Plugpharma","120,04","130,89","126,00","",""
"7891317421618","PONDERA 40MG C/20 CPR REVEST","E","PROPAGADO","232,99","262,99","260,00","",""
"7891317421748","SINOT CLAV 875+125MG C/14 CPR","E","PROPAGADO","103,29","105,99","109,50","",""
"7891317421755","SINOT CLAV 875+125MG C/20 CPR","E","02 - Preço Controlado Plugpharma","143,86","140,79","141,48","",""
"7891317421823","GN GLIMEPIRIDA 4MG C/30 CPR EURO","E","BORA VENDER GENÉRICO 3.0","25,06","12,59","13,79","Leve 5 e pague R$7,55 cada",""
"7891317421861","GN MELOXICAM 7,5MG C/10 CPR EURO","E","BORA VENDER GENÉRICO 3.0","13,89","10,89","10,59","",""
"7891317421991","GN AZITROMICINA 500MG C/3 CPR REVEST EURO","E","03 - Preço Controlado Plugpharma","16,03","18,85","13,39","",""
"7891317422028","GN NIMESULIDA 100MG C/12 CPR EURO","B","BORA VENDER GENÉRICO 3.0","12,71","3,09","3,19","Leve 5 e pague R$1,85 cada",""
"7891317422042","GN AMOXICILINA+CLAVULANATO 875+125MG C/14 CPR REVEST(EUR)","B","02 - Preço Controlado Plugpharma","76,56","55,26","78,99","",""
"7891317424565","GN MELOXICAM 15MG/1,5ML INJ C/1 AMP EURO CX C/5","E","02 - Preço Controlado Plugpharma","42,12","30,29","29,89","",""
"7891317425869","ZART 50MG C/30 CPR","B","PROPAGADO","9,00","8,29","10,99","",""
"7891317427542","GN LOSARTANA POTASSICA 50MG C/30 CPR EURO","E","BORA VENDER GENÉRICO 3.0","7,51","4,12","","",""
"7891317430146","GN CLORIDRATO DE NORTRIPTILINA 25MG C/30 CPS EURO","E","BORA VENDER GENÉRICO 3.0","23,16","16,69","19,39","",""
"7891317430368","GN CLORIDRATO DE VENLAFAXINA 75MG C/30 CPR EURO","D","BORA VENDER GENÉRICO 3.0","52,79","42,39","46,59","",""
"7891317430436","BENZETACIL 1.200.000 C/1 AMPOLA CX C/10","E","PROPAGADO","167,37","","","",""
"7891317431181","SNIF 9 MG SOL NAS SPRAY C/50ML","E","02 - Preço Controlado Plugpharma","25,84","","","",""
"7891317431334","GN ESPIRONOLACTONA 50MG C/30 CPR EURO","C","BORA VENDER GENÉRICO 3.0","21,49","18,51","15,49","Leve 5 e pague R$11,11 cada",""
"7891317431358","GN ESPIRONOLACTONA 25MG C/30 CPR EURO","B","BORA VENDER GENÉRICO 3.0","13,46","9,99","9,09","Leve 5 e pague R$5,99 cada",""
"7891317432362","MUSCULARE 10MG C/15 CPR REVEST","E","03 - Preço Controlado Plugpharma","19,79","18,69","21,39","",""
"7891317432386","MUSCULARE 10MG C/30 CPR REVEST","E","03 - Preço Controlado Plugpharma","39,60","41,99","41,79","",""
"7891317432447","MUSCULARE 5MG C/15 CPR REVEST","E","03 - Preço Controlado Plugpharma","17,76","16,89","18,69","",""
"7891317432461","MUSCULARE 5MG C/30 CPR REVEST","E","03 - Preço Controlado Plugpharma","35,54","35,59","37,59","",""
"7891317433642","GN CLORIDRATO DE CICLOBENZAPRINA 10MG C/30 CPR REVEST EURO","C","BORA VENDER GENÉRICO 3.0","22,89","17,79","17,09","Leve 5 e pague R$10,67 cada",""
"7891317433673","GN CLORIDRATO DE CICLOBENZAPRINA 5MG C/30 CPR REVEST EURO","C","03 - Preço Controlado Plugpharma","24,65","16,69","15,49","Leve 5 e pague R$10,01 cada",""
"7891317434328","GN TOPIRAMATO 25MG C/60 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","49,75","26,79","62,59","",""
"7891317434335","GN TOPIRAMATO 50MG C/60 CPR REVEST EURO","D","BORA VENDER GENÉRICO 3.0","67,49","29,59","50,39","",""
"7891317434342","GN TOPIRAMATO 100MG C/60 CPR EURO","D","BORA VENDER GENÉRICO 3.0","74,89","47,05","43,39","",""
"7891317435431","SINOT 875MG C/14 CPR EURO","E","02 - Preço Controlado Plugpharma","49,83","50,59","48,79","",""
"7891317435462","SINOT 400MG SUSP 100ML","E","03 - Preço Controlado Plugpharma","35,78","36,49","37,39","",""
"7891317435936","GN CILOSTAZOL 50MG C/30 EURO","E","02 - Preço Controlado Plugpharma","13,75","","","",""
"7891317435943","GN CILOSTAZOL 100MG C/30 CPR EURO","C","BORA VENDER GENÉRICO 3.0","27,54","25,19","19,29","Leve 5 e pague R$15,11 cada",""
"7891317436148","ASTRO 900MG SUSP ORAL 22,5ML","E","01 - Preço Controlado Plugpharma","68,17","72,99","69,99","",""
"7891317436322","BETES 4MG C/30 CPR","E","02 - Preço Controlado Plugpharma","76,15","69,69","","",""
"7891317438937","BUP 150MG C/30 CPR REVEST","E","02 - Preço Controlado Plugpharma","127,96","","132,49","",""
"7891317438944","BUP 150MG C/60 CPR REVEST","E","02 - Preço Controlado Plugpharma","246,92","","246,98","",""
"7891317438975","MELOCOX 15MG INJ C/1 AMPOLA 1,5ML CX C/5","E","03 - Preço Controlado Plugpharma","46,07","39,09","49,19","",""
"7891317439002","MELOCOX 7,5MG C/10 CPR","E","02 - Preço Controlado Plugpharma","23,62","22,19","","",""
"7891317439033","MELOCOX 15MG C/10 CPR","E","02 - Preço Controlado Plugpharma","43,97","","","",""
"7891317443375","AMATO 25MG C/60 CPR REVEST","E","03 - Preço Controlado Plugpharma","49,71","49,69","54,99","",""
"7891317443382","AMATO 50MG C/60 CPR REVEST","E","03 - Preço Controlado Plugpharma","99,43","101,89","105,49","",""
"7891317443399","AMATO 100MG C/60 CPR REVEST","E","03 - Preço Controlado Plugpharma","200,98","205,19","208,98","",""
"7891317444747","GN ATENOLOL+CLORTALIDONA 100+25MG C/30 CPR EURO","E","02 - Preço Controlado Plugpharma","30,27","17,59","","Leve 5 e pague R$10,55 cada",""
"7891317444921","GN AZITROMICINA 500MG C/5 CPR EURO","B","03 - Preço Controlado Plugpharma","26,83","31,55","8,99","",""
"7891317445126","TAMISA 30 C/21 DRG (FRACIONADO) CX C/3","B","02 - Preço Controlado Plugpharma","75,29","","","",""
"7891317445232","GN CLONAZEPAM 2MG C/30 CPR REVEST(EUR)","E","02 - Preço Controlado Plugpharma","8,43","","","",""
"7891317445287","GN LOSARTANA+HIDROCLOROTIAZIDA 50+12,5MG C/30 CPR EURO","C","BORA VENDER GENÉRICO 3.0","19,89","26,29","13,29","",""
"7891317445294","GN LOSARTANA+HIDROCLOROTIAZIDA 100+25MG C/30 CPR EURO","E","BORA VENDER GENÉRICO 3.0","51,90","101,73","65,39","",""
"7891317445720","TROK CR 30G","E","02 - Preço Controlado Plugpharma","34,97","","","",""
"7891317445737","TROK N CR 30G","E","03 - Preço Controlado Plugpharma","36,31","37,69","37,79","",""
"7891317445744","TROK N POM 30G","E","03 - Preço Controlado Plugpharma","36,31","37,69","38,19","",""
"7891317445751","TROK POM 30G","E","02 - Preço Controlado Plugpharma","34,97","","","",""
"7891317446031","GN CLORIDRATO DE SERTRALINA 50MG C/30 CPR REVEST EURO","C","BORA VENDER GENÉRICO 3.0","39,91","","12,09","",""
"7891317446659","GN RISPERIDONA 3MG C/30 CPR EURO","E","BORA VENDER GENÉRICO 3.0","24,59","40,47","11,59","",""
"7891317446772","GN CLORIDRATO DE CICLOBENZAPRINA 10MG C/15 CPR REVEST EURO","C","03 - Preço Controlado Plugpharma","14,78","11,59","17,39","",""
"7891317446819","GN CLORIDRATO DE CICLOBENZAPRINA 5MG C/15 CPR REVEST EURO","D","03 - Preço Controlado Plugpharma","13,26","7,69","","Leve 5 e pague R$4,61 cada",""
"7891317446963","GN CLORIDRATO DE SERTRALINA 100MG C/30 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","64,34","","53,60","",""
"7891317448653","GN RISPERIDONA 1MG C/30 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","33,33","13,43","7,55","",""
"7891317448677","GN RISPERIDONA 2MG C/30 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","38,75","33,09","16,49","",""
"7891317448714","RISS 1MG C/30 CPR","E","02 - Preço Controlado Plugpharma","48,23","49,59","49,59","",""
"7891317448745","RISS 2MG C/30 CPR","E","01 - Preço Controlado Plugpharma","48,23","53,59","51,79","",""
"7891317448783","RISS 3MG C/30 CPR","E","02 - Preço Controlado Plugpharma","48,23","53,59","52,99","",""
"7891317448936","GN DESOGESTREL+ETINILESTRADIOL 150+20MCG EUROFARMA C/21 CPR","C","BORA VENDER GENÉRICO 3.0","15,49","14,49","13,89","Leve 5 e pague R$8,69 cada",""
"7891317448943","GN DESOGESTREL+ETINILESTRADIOL EUROFARMA 150+30MCG C/21 CPR","C","BORA VENDER GENÉRICO 3.0","15,31","15,89","15,69","",""
"7891317451035","GN ATENOLOL+CLORTALIDONA 50+12,5MG C/30 CPR EURO","C","BORA VENDER GENÉRICO 3.0","20,04","15,69","14,09","Leve 5 e pague R$9,41 cada",""
"7891317451400","ZART H 100+25MG C/30 CPR","E","02 - Preço Controlado Plugpharma","78,28","70,09","86,99","",""
"7891317451417","ZART H 50+12,5MG C/30 CPR","E","03 - Preço Controlado Plugpharma","44,01","42,39","49,19","",""
"7891317451752","ASTRO 1500MG SUSP ORAL 37,5ML","E","02 - Preço Controlado Plugpharma","68,17","72,99","71,99","",""
"7891317452230","GN CILOSTAZOL 100MG C/60 CPR EURO","D","BORA VENDER GENÉRICO 3.0","45,78","37,89","34,79","Leve 5 e pague R$22,73 cada",""
"7891317452254","GN CILOSTAZOL 50MG C/60 CPR EURO","E","BORA VENDER GENÉRICO 3.0","28,76","","","",""
"7891317452650","TROK G CR 30G","D","PROPAGADO","28,62","28,89","30,79","",""
"7891317452933","TROK G POM 30G","E","03 - Preço Controlado Plugpharma","28,62","29,89","30,79","",""
"7891317452964","GN MESILATO DE DOXAZOSINA 2MG C/30 CPR EURO","B","BORA VENDER GENÉRICO 3.0","19,89","12,29","13,39","Leve 5 e pague R$7,37 cada",""
"7891317452971","GN DOMPERIDONA 1MG/ML 100ML EURO","E","BORA VENDER GENÉRICO 3.0","23,95","22,19","21,09","Leve 5 e pague R$13,31 cada",""
"7891317452995","GN DOMPERIDONA 10MG C/30 CPR EURO","B","BORA VENDER GENÉRICO 3.0","11,69","6,99","6,59","Leve 5 e pague R$4,19 cada",""
"7891317453008","GN DOMPERIDONA 10MG C/60 CPR EURO","B","BORA VENDER GENÉRICO 3.0","17,97","12,09","15,99","Leve 5 e pague R$7,25 cada",""
"7891317454371","GN TRIANCINOLONA+NEOMICINA+GRAM+NISTATINA CR 30G EURO","E","BORA VENDER GENÉRICO 3.0","31,11","","13,29","",""
"7891317455040","DOMPERIX 10MG C/30 CPR","E","02 - Preço Controlado Plugpharma","26,45","28,09","27,89","",""
"7891317455569","DUOMO 2MG C/30 CPR","D","01 - Preço Controlado Plugpharma","34,98","37,79","38,19","",""
"7891317457211","ZINA 5MG C/10 CPR REVEST","E","03 - Preço Controlado Plugpharma","49,29","44,55","51,79","",""
"7891317457266","GN DICLORIDRATO DE LEVOCETIRIZINA 5MG C/10 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","24,62","20,00","31,19","Leve 5 e pague R$12,00 cada",""
"7891317458850","GN ANASTROZOL 1MG C/30 CPR EURO","E","02 - Preço Controlado Plugpharma","599,79","","","",""
"7891317460495","NOEX 64MCG SOL NASAL C/120 DOSE","E","03 - Preço Controlado Plugpharma","65,45","62,99","69,99","",""
"7891317460518","NOEX 50MCG SOL NASAL C/200 DOSE","E","PROPAGADO","64,38","67,39","69,99","",""
"7891317460532","NOEX 32MCG SOL NASAL C/120 DOSE","E","03 - Preço Controlado Plugpharma","36,99","39,09","38,39","",""
"7891317461089","GN AMOXICILINA+CLAVULANATO 875+125MG C/20 CPR REVEST(EUR)","E","BORA VENDER GENÉRICO 3.0","74,39","67,49","114,99","",""
"7891317462031","GN ALPRAZOLAM 1MG C/30 CPR EURO","E","02 - Preço Controlado Plugpharma","29,13","","","",""
"7891317463076","GN CLORIDRATO DE VENLAFAXINA 150MG C/30 CAPS EURO","E","BORA VENDER GENÉRICO 3.0","94,90","64,39","64,39","",""
"7891317464004","NOEX 100MCG SOL NASAL C/100 DOSE","E","03 - Preço Controlado Plugpharma","64,38","69,39","72,99","",""
"7891317464523","GN CLORIDRATO DE VENLAFAXINA 37,5MG C/30 CAPS EURO","E","01 - Preço Controlado Plugpharma","33,08","22,59","24,39","",""
"7891317465032","TAMISA 20 C/21 CPR (FRACIONADO) CX C/3","B","03 - Preço Controlado Plugpharma","75,29","76,09","79,49","",""
"7891317465049","TAMISA 20 C/21 CPR","E","03 - Preço Controlado Plugpharma","31,67","28,26","33,99","",""
"7891317465346","VENLAXIN 37,5MG C/30 CAPS","E","02 - Preço Controlado Plugpharma","41,79","42,19","42,79","",""
"7891317465643","GN TRIANCINOLONA ACETONIDA 1MG/G POM 10G EURO","B","BORA VENDER GENÉRICO 3.0","12,42","10,29","11,49","Leve 5 e pague R$6,17 cada",""
"7891317465650","SELENE C/21 CPR (FRACIONADO) CX C/3","C","03 - Preço Controlado Plugpharma","60,75","55,48","56,99","",""
"7891317465667","SELENE C/21 CPR","D","02 - Preço Controlado Plugpharma","29,41","29,89","31,19","",""
"7891317466824","FAGICO 4MG SOL ORAL 20ML","E","02 - Preço Controlado Plugpharma","25,46","","","",""
"7891317469238","SINOT CLAV 400+57MG/5ML SUSP ORAL 70ML","E","02 - Preço Controlado Plugpharma","71,85","71,29","74,49","",""
"7891317469283","GN AMOXICILINA+CLAVULANATO 400+57MG SUSP ORAL 70ML EURO","E","02 - Preço Controlado Plugpharma","77,22","41,89","","",""
"7891317471323","TEINA 10MG C/30 CAPS","E","SUPLEMENTO ALIMENTAR","176,58","182,71","","",""
"7891317472009","GN BROMIDRATO DE CITALOPRAM 20MG C/30 CPR EURO","E","BORA VENDER GENÉRICO 3.0","39,49","21,69","","",""
"7891317472054","HEIMER 10MG C/30 CPR","E","03 - Preço Controlado Plugpharma","53,76","55,99","59,39","",""
"7891317472061","HEIMER 10MG C/60 CPR","E","02 - Preço Controlado Plugpharma","72,15","75,09","78,49","",""
"7891317472122","GN CLORIDRATO DE MEMANTINA 10MG C/30 CPR REVEST EURO","E","02 - Preço Controlado Plugpharma","36,40","18,39","17,39","",""
"7891317472139","GN CLORIDRATO DE MEMANTINA 10MG C/60 CPR REVEST EURO","D","BORA VENDER GENÉRICO 3.0","39,88","67,57","26,19","",""
"7891317472337","VENLAXIN 150MG C/30 CAPS","E","02 - Preço Controlado Plugpharma","138,78","136,29","141,98","",""
"7891317472375","VENLAXIN 75MG C/30 CAPS","E","02 - Preço Controlado Plugpharma","97,93","97,79","102,99","",""
"7891317473648","GN LAMOTRIGINA 25MG C/30 CPR EURO","C","BORA VENDER GENÉRICO 3.0","24,98","12,09","17,39","",""
"7891317473679","GN LAMOTRIGINA 50MG C/30 CPR EURO","E","BORA VENDER GENÉRICO 3.0","30,17","11,63","12,29","",""
"7891317473709","GN LAMOTRIGINA 100MG C/30 CPR EURO","E","BORA VENDER GENÉRICO 3.0","58,36","19,19","19,99","",""
"7891317475222","SIBUS 15MG C/60 CAPS","E","02 - Preço Controlado Plugpharma","85,48","91,69","93,49","",""
"7891317476410","PRENI 3MG/ML SOL ORAL CEREJA 120ML","E","02 - Preço Controlado Plugpharma","47,86","43,05","51,79","",""
"7891317476465","GN OXALATO DE ESCITALOPRAM 10MG C/30 CPR REVEST EURO","E","03 - Preço Controlado Plugpharma","34,42","21,79","33,19","",""
"7891317476526","GN OXALATO DE ESCITALOPRAM 20MG C/30 CPR REVEST EURO","E","BORA VENDER GENÉRICO 3.0","54,90","38,39","41,99","",""
"7891317476588","ESC 10MG C/30 CPR REVEST","E","PROPAGADO","70,60","75,09","74,49","",""
"7891317476649","ESC 20MG C/30 CPR REVEST","E","02 - Preço Controlado Plugpharma","137,31","127,59","140,49","",""
"7891317476663","ESC 10MG C/60 CPR REVEST","E","02 - Preço Controlado Plugpharma","105,30","106,69","108,49","",""
"7891317477172","PIEMONTE 5MG C/30 CPR","E","02 - Preço Controlado Plugpharma","61,63","61,09","64,19","",""
"7891317477202","PIEMONTE 4MG C/30 CPR","E","02 - Preço Controlado Plugpharma","61,63","62,09","64,19","",""
"7891317477271","GN MONTELUCASTE DE SODIO 5MG C/30 CPR EURO","E","BORA VENDER GENÉRICO 3.0","49,87","32,70","26,79","",""
"7891317477301","GN MONTELUCASTE DE SODIO 4MG C/30 CPR EURO","D","BORA VENDER GENÉRICO 3.0","49,90","43,99","36,99","Leve 5 e pague R$26,39 cada",""
"7891317477592","GN CITRATO DE SILDENAFILA 50MG C/4 CPR EURO","B","PROMOÇOES LEVE E PAGUE","7,49","8,29","15,69","Leve 5 e pague R$4,97 cada",""
"7891317477608","GN CITRATO DE SILDENAFILA 50MG C/8CP","E","BORA VENDER GENÉRICO 3.0","16,98","63,81","11,39","",""
"7891317478766","GN DICLORIDRATO DE BETAISTINA 16MG C/30CPR EURO","C","01 - Preço Controlado Plugpharma","19,66","10,79","13,99","",""
"7891317478810","GN DICLORIDRATO DE BETAISTINA 24MG C/30 CPR EURO","B","03 - Preço Controlado Plugpharma","26,34","18,59","16,19","Leve 5 e pague R$11,15 cada",""
"7891317478919","BETINA 16MG C/30 CPR","E","02 - Preço Controlado Plugpharma","25,15","23,49","25,99","",""
"7891317478964","BETINA 24MG C/30 CPR","E","03 - Preço Controlado Plugpharma","33,71","35,79","35,59","",""
"7891317481629","GN CLORIDRATO DE SIBUTRAMINA 15MG C/30 CAPS DURA EURO","E","BORA VENDER GENÉRICO 3.0","36,80","28,59","34,39","",""
"7891317481636","GN CLORIDRATO DE SIBUTRAMINA 10MG C/30 CAPS DURA EURO","E","02 - Preço Controlado Plugpharma","41,04","46,79","30,19","",""
"7891317483531","DOMPERIX 1MG/ML SUSP ORAL 100ML","E","02 - Preço Controlado Plugpharma","44,88","40,99","46,99","",""
"7891317484262","GN OLANZAPINA 2,5MG C/30 CPR(EUR)","E","BORA VENDER GENÉRICO 3.0","128,16","","","",""
"7891317484330","GN OLANZAPINA 5MG C/30 CPR EURO","E","BORA VENDER GENÉRICO 3.0","66,89","138,08","28,49","",""
"7891317484408","GN OLANZAPINA 10MG C/30 CPR(EUR)","E","BORA VENDER GENÉRICO 3.0","378,58","","174,99","",""
"7891317485313","TAMIRAM 750MG C/5 CPR REVEST","E","02 - Preço Controlado Plugpharma","110,29","102,99","111,99","",""
"7891317485320","TAMIRAM 750MG C/7 CPR REVEST","E","02 - Preço Controlado Plugpharma","154,48","165,49","154,00","",""
"7891317485764","DUOMO HP 2+5MG C/60 CAPS DURA","E","PROPAGADO","162,86","148,29","148,48","",""
"7891317485801","DUOMO HP 2+5MG C/30 CAPS DURA","E","PROPAGADO","134,37","133,99","135,99","",""
"7891317485818","DUOMO HP 2+5MG C/20 CPS DURAS","E","02 - Preço Controlado Plugpharma","92,96","","","",""
"7891317487317","VERSA 40MG/0,4ML C/1 SERINGA (FRACIONADO) CX C/2","E","02 - Preço Controlado Plugpharma","135,03","132,39","138,99","",""
"7891317487331","VERSA 60MG INJ C/1 SERINGA 0,6ML CX C/2","E","02 - Preço Controlado Plugpharma","205,73","186,49","232,99","",""
"7891317487386","GN CLORIDRATO DE DULOXETINA 60MG C/30 CPR EURO","E","02 - Preço Controlado Plugpharma","194,29","","88,98","",""
"7891317487553","DEP 60MG C/30 CAPS EURO","E","PROPAGADO","113,74","113,73","140,41","",""
"7891317487638","DEP 30MG C/30 CAPS EURO","E","PROPAGADO","57,11","66,79","70,50","",""
"7891317488390","GN IRBESARTANA 300MG+HIDROCLOROTIAZIDA 12,5MG C/30 CPR EURO","E","BORA VENDER GENÉRICO 3.0","114,44","80,11","75,99","",""
"7891317488710","LEG XAROPE 60ML","E","02 - Preço Controlado Plugpharma","44,65","37,59","49,26","",""
"7891317488727","LEG XRPE 100ML (EURO)","E","02 - Preço Controlado Plugpharma","66,07","57,19","72,89","",""
"7891317488833","GN NITRATO DE FENTICONAZOL CR VAG 40G+7 APLIC EURO","E","BORA VENDER GENÉRICO 3.0","29,91","","22,09","",""
"7891317489328","GN ATORVASTATINA CALCICA 10MG C/30 CPR EURO","D","BORA VENDER GENÉRICO 3.0","29,96","18,79","19,59","Leve 5 e pague R$11,27 cada",""
"7891317489366","GN ATORVASTATINA CALCICA 20MG C/30 CPR REVEST EURO","C","BORA VENDER GENÉRICO 3.0","34,19","20,99","27,29","Leve 5 e pague R$12,59 cada",""
"7891317489403","GN ATORVASTATINA CALCICA 40MG C/30 CPR EURO","C","BORA VENDER GENÉRICO 3.0","40,00","35,69","47,98","Leve 5 e pague R$21,41 cada",""
"7891317489533","FLUXENE 20MG C/28 CAPS","E","02 - Preço Controlado Plugpharma","96,12","97,99","","",""
"7891317489564","FLUXENE 10MG C/28 CAPS","E","02 - Preço Controlado Plugpharma","50,28","50,69","55,19","",""
"7891317489595","GINNA CR VAG 40G C/7 APLIC","E","02 - Preço Controlado Plugpharma","41,63","44,19","43,79","",""
"7891317489663","VAST 10MG C/30 CPR REVEST","E","03 - Preço Controlado Plugpharma","76,78","73,19","84,99","",""
"7891317489700","VAST 20MG C/30 CPR REVEST","E","02 - Preço Controlado Plugpharma","76,78","82,59","83,49","",""
"7891317490003","GN PROMESTRIENO 10MG/G CR VAG 30G+20 APLIC EURO","D","BORA VENDER GENÉRICO 3.0","49,81","44,39","44,79","Leve 5 e pague R$26,63 cada",""
"7891317490133","ANTROFI 10MG/G CR VAG 30G C/20 APLIC","E","03 - Preço Controlado Plugpharma","85,71","82,49","87,49","",""
"7891317496241","BENZETACIL 12000U+3000U/ML C/1 AMP 4ML","E","02 - Preço Controlado Plugpharma","17,91","19,49","19,29","",""
"7891317496388","GN ENANTATO DE NORETISTERONA+VAL DE ESTRADIOL 50+5MG/ML INJ","E","02 - Preço Controlado Plugpharma","21,26","20,29","22,29","Leve 5 e pague R$12,17 cada",""
"7891317496760","PLAQ 75MG C/30 CPR","E","02 - Preço Controlado Plugpharma","55,79","58,29","58,99","",""
"7891317498054","MOLIERI 20 3MG+0,02MG C/24 CPR REVEST","E","02 - Preço Controlado Plugpharma","58,85","","","",""
"7891317498764","PANTOCAL 20MG C/28 CPR","E","01 - Preço Controlado Plugpharma","95,39","90,19","107,99","",""
"7891317922535","HOLMES 40MG C/30 CPR REVEST","E","03 - Preço Controlado Plugpharma","42,33","44,39","46,19","",""
"7891317922580","HOLMES 20MG C/30 CPR","E","02 - Preço Controlado Plugpharma","40,27","43,79","45,39","",""
"7891330012725","CHOCOLATE NEUGEBAUER STIKADINHO MORANGO 70G","E","","5,50","","","",""
