Cód. Barras/Etiq.,Embalagem,Curva ABC Qtd.,Caderno de Ofertas,Custo Médio Unit.,Preço Venda Unit.,Preço Oferta Unit.
7891350034042,ESM RISQUE AZULIVRE MENTE 8ML,E,,"3,24","4,60","4,60"
7891350034059,ESM RISQUE VIOLETRAZ O NOVO 8ML,C,,"3,13","4,60","4,60"
7891350034059,ESM RISQUE VIOLETRAZ O NOVO 8ML,E,,"3,24","4,60","4,60"
7891350034066,ESM RISQUE VER DE VERDADE 8ML,C,,"3,13","4,60","4,60"
7891350034066,ESM RISQUE VER DE VERDADE 8ML,E,,"3,01","4,60","4,60"
7891350034073,ESM RISQUE LAVANDA ALMA 8ML,B,,"3,13","4,60","4,60"
7891350034073,ESM RISQUE LAVANDA ALMA 8ML,C,,"3,13","4,60","4,60"
7891350034080,ESM RISQUE AMARELINDO 8ML,E,,"3,14","4,60","4,60"
7891350034097,ESM RISQUE SOL LARANJA ANIMA 8ML,E,,"2,39","4,60","4,60"
7891350034288,ESM RISQUE NUDES BRILHO BRILHO MEU 8ML,E,,"3,10","4,60","4,60"
7891350034295,ESM RISQUE LINDA LEVE E NUDE 8ML,D,,"3,13","4,60","4,60"
7891350034295,ESM RISQUE LINDA LEVE E NUDE 8ML,E,,"3,13","4,60","4,60"
7891350034301,ESM RISQUE TOM DO MEU TOM 8ML,E,,"3,21","4,60","4,60"
7891350034318,ESM RISQUE COTA PROVOCA 8ML,E,,"3,14","4,60","4,60"
7891350034615,DES AERO MONANGE SENSIVEL 150ML,B,,"6,99","9,99","9,99"
7891350034615,DES AERO MONANGE SENSIVEL 150ML,D,,"6,84","9,99","9,99"
7891350034622,DES AERO MONANGE FLOR DE LAVANDA 150ML,A,,"6,99","9,99","9,99"
7891350034622,DES AERO MONANGE FLOR DE LAVANDA 150ML,B,,"6,94","9,99","9,99"
7891350034639,DES AERO MONANGE FRUTAS VERMELHAS 150ML,A,,"6,99","9,99","9,99"
7891350034639,DES AERO MONANGE FRUTAS VERMELHAS 150ML,C,,"6,93","9,99","9,99"
7891350034646,DES AERO MONANGE HIDRAT INTENSA 150ML,A,,"7,01","9,99","9,99"
7891350034646,DES AERO MONANGE HIDRAT INTENSA 150ML,B,,"6,99","9,99","9,99"
7891350034646,DES AERO MONANGE HIDRAT INTENSA 150ML,C,,"6,90","9,99","9,99"
7891350034752,SAB LIQ INTIMO LUCRETIN HIDRATA 200ML,E,,"12,47","18,90","18,90"
7891350034769,KIT SAB LIQUI LUCRETIN NEUTRO 200ML,E,,"16,75","25,50","25,50"
7891350034776,KIT SAB LIQUI LUCRETIN FRESH 200ML ,E,,"16,75","25,50","25,50"
7891350034820,SAB LIQ INTIMO LUCRETIN FRESH 200ML,E,,"10,80","18,90","18,90"
7891350034837,SAB LIQ INTIMO LUCRETIN NUTRE 200ML,E,,"10,76","18,90","18,90"
7891350034844,GEL FIX BOZZANO ASPECTO MOLHADO 300G,E,,"8,53","17,90","17,90"
7891350034851,GEL FIX BOZZANO PROT SOL AMARELO 300G  ,E,,"8,24","12,50","12,50"
7891350034868,GEL FIX BOZZANO ACAO PROLONGADA 300G,C,,"9,12","17,90","17,90"
7891350034929,GEL FIX NYLOOKS ORIGINAL 240G,C,,"7,28","10,50","10,50"
7891350034929,GEL FIX NYLOOKS ORIGINAL 240G,E,,"5,76","10,50","10,50"
7891350034936,GEL FIX NYLOOKS ROSA 240G,D,,"7,39","10,50","10,50"
7891350034936,GEL FIX NYLOOKS ROSA 240G,E,,"6,39","10,50","10,50"
7891350034943,GEL FIX NYLOOKS VERDE 240G,E,,"7,04","10,50","10,50"
7891350034950,GEL FIX NYLOOKS AZUL 240G,E,,"5,77","9,90","9,90"
7891350036695,SH BOZZANO BARBA E CABELO 200ML ,E,,"11,29","19,90","19,90"
7891350036701,CR MODELADOR CAPILAR BOZZANO 140G,D,,"12,29","19,90","19,90"
7891350036701,CR MODELADOR CAPILAR BOZZANO 140G,E,,"12,09","19,90","19,90"
7891350036718,BALM HIDRAT BOZZANO BARBA/BIGODE 90G,E,,"12,52","24,90","24,90"
7891350036732,CERA MODELADORA BOZZANO 80G,D,,"15,99","25,90","25,90"
7891350036992,"ESM RISQUE DIAMOND GEL CINZA GRANITO 9,5ML",E,,"5,81","9,50","9,50"
7891350037005,"ESM RISQUE DIAMOND GEL CHA BRANCO 9,5ML",C,,"6,62","9,90","9,90"
7891350037012,"ESM RISQUE DIAMOND GEL BRANCO CAMAFEU 9,5ML",E,,"6,54","9,90","9,90"
7891350037029,"ESM RISQUE DIAMOND GEL NOZ MOSCADA 9,5ML",E,,"6,54","9,90","9,90"
7891350037036,"ESM RISQUE DIAMOND GEL SAL ROSA 9,5ML",D,,"6,54","9,90","9,90"
7891350037043,"ESM RISQUE DIAMOND GEL TIRAMISU 9,5ML",E,,"5,81","9,50","9,50"
7891350037050,"ESM RISQUE DIAMOND GEL ESPUMANTE ROSE 9,5ML",E,,"6,38","9,50","9,50"
7891350037067,"ESM RISQUE DIAMOND GEL LAVANDA FRANCESA 9,5ML",E,,"6,51","9,97","9,97"
7891350037074,"ESM RISQUE DIAMOND GEL COURO NUDE 9,5ML",E,,"5,81","9,50","9,50"
7891350037081,"ESM RISQUE DIAMOND GEL VELUDO ROSE 9,5ML",E,,"6,38","9,50","9,50"
7891350037098,"ESM RISQUE DIAMOND GEL HIBISCO ROSA 9,5ML",E,,"6,54","9,90","9,90"
7891350037104,"ESM RISQUE DIAMOND GEL CREME DE PITAYA 9,5ML",E,,"6,62","9,90","9,90"
7891350037111,"ESM RISQUE DIAMOND GEL ROSA FLAMBADO 9,5ML",E,,"6,51","9,50","9,50"
7891350037128,"ESM RISQUE DIAMOND GEL VERMELHO CEREJA 9,5ML",E,,"6,54","9,90","9,90"
7891350037135,"ESM RISQUE DIAMOND GEL VERMELHO RUBI 9,5ML",E,,"6,54","9,90","9,90"
7891350037142,"ESM RISQUE DIAMOND GEL VINHO BORDO 9,5ML",E,,"6,51","9,50","9,50"
7891350037159,"ESM RISQUE DIAMOND GEL AMORA NEGRA 9,5ML",E,,"6,51","9,98","9,98"
7891350037166,"ESM RISQUE GEL CALDA DE BLUEBERRY 9,5ML",C,,"6,54","9,90","9,90"
7891350037173,"ESM RISQUE DIAMOND GEL PRETO CAVIAR 9,5ML",D,,"6,54","9,90","9,90"
7891350037180,"ESM RISQUE DIAMOND GEL CETIM DOURADO 9,5ML",E,,"5,81","9,50","9,50"
7891350037197,"ESM RISQUE DIAMOND GEL TOP COAT FIXADOR PASSO 2 9,5ML",B,,"9,81","13,90","13,90"
7891350037197,"ESM RISQUE DIAMOND GEL TOP COAT FIXADOR PASSO 2 9,5ML",C,,"9,81","13,90","13,90"
7891350037203,"ESM RISQUE DIAMOND GEL CINZA GRANITO 9,5ML CX C/6",E,,"34,86","53,90","53,90"
7891350037210,"ESM RISQUE DIAMOND GEL CHA BRANCO 9,5ML CX C/6",C,,"39,72","56,90","56,90"
7891350037227,"ESM RISQUE DIAMOND GEL BRANCO CAMAFEU 9,5ML CX C/6",E,,"39,24","59,90","59,90"
7891350037234,"ESM RISQUE DIAMOND GEL NOZ MOSCADA 9,5ML CX C/6",E,,"39,24","56,90","56,90"
7891350037241,"ESM RISQUE DIAMOND GEL SAL ROSA 9,5ML CX C/6",D,,"39,24","60,90","60,90"
7891350037258,"ESM RISQUE DIAMOND GEL TIRAMISU 9,5ML CX C/6",E,,"34,86","53,40","53,40"
7891350037265,"ESM RISQUE DIAMOND GEL ESPUMANTE ROSE 9,5ML CX C/6",E,,"38,28","58,64","58,64"
7891350037272,"ESM RISQUE DIAMOND GEL LAVANDA FRANCESA 9,5ML CX C/6",E,,"39,06","59,83","59,83"
7891350037289,"ESM RISQUE DIAMOND GEL COURO NUDE 9,5ML CX C/6",E,,"34,86","53,40","53,40"
7891350037302,"ESM RISQUE DIAMOND GEL HIBISCO ROSA 9,5ML CX C/6",E,,"39,24","161,90","161,90"
7891350037319,"ESM RISQUE DIAMOND GEL CREME DE PITAYA 9,5ML CX C/6",E,,"39,72","69,90","69,90"
7891350037326,"ESM RISQUE DIAMOND GEL ROSA FLAMBADO 9,5ML CX C/6",E,,"39,06","59,90","59,90"
7891350037333,"ESM RISQUE DIAMOND GEL VERMELHO CEREJA 9,5ML CX C/6",E,,"39,24","59,90","59,90"
7891350037340,"ESM RISQUE DIAMOND GEL VERMELHO RUBI 9,5ML CX C/6",E,,"39,24","55,90","55,90"
7891350037357,"ESM RISQUE DIAMOND GEL VINHO BORDO 9,5ML CX C/6",E,,"39,06","59,22","59,22"
7891350037364,"ESM RISQUE DIAMOND GEL AMORA NEGRA 9,5ML CX C/6",E,,"39,06","59,90","59,90"
7891350037388,"ESM RISQUE DIAMOND GEL PRETO CAVIAR 9,5ML CX C/6",D,,"39,24","59,90","59,90"
7891350037395,"ESM RISQUE DIAMOND GEL CETIM DOURADO 9,5ML CX C/6",E,,"34,86","53,40","53,40"
7891350037401,"ESM RISQUE DIAMOND GEL TOP COAT FIXADOR PASSO 2 9,5ML CX C/6",C,,"58,86","83,50","83,50"
7891350037449,TIN KOLESTON PRETO INFINITO COR 10 ,C,,"15,72","19,90","19,90"
7891350037449,TIN KOLESTON PRETO INFINITO COR 10 ,E,,"15,85","19,90","19,90"
7891350037456,TIN KOLESTON CASTANHO OURO 53,E,,"14,36","19,90","19,90"
7891350037463,TIN KOLESTON CASTANHO COBRE COR 641,D,,"16,26","19,90","19,90"
7891350037463,TIN KOLESTON CASTANHO COBRE COR 641,E,,"13,63","19,90","19,90"
7891350037487,ESM RISQUE TECHNOLOGY SERUM REPARADOR 8ML,D,,"5,58","7,50","7,50"
7891350037487,ESM RISQUE TECHNOLOGY SERUM REPARADOR 8ML,E,,"5,19","7,50","7,50"
7891350037517,TIN SOFT COLOR CAFÉ EXPRESSO 10,E,,"16,58","23,90","23,90"
7891350037555,ESM RISQUE REVOLUCAO DAS CORES CANCELA JULGAMENTOS 8ML,E,,"3,66","13,90","13,90"
7891350037562,ESM RISQUE REVOLUCAO DAS CORES MENTA.LIZA 8ML,E,,"3,66","13,90","13,90"
7891350037579,ESM RISQUE REVOLUCAO DAS CORES SE JOGA NO BEGE 8ML,E,,"3,66","13,90","13,90"
7891350037586,ESM RISQUE REVOLUCAO DAS CORES ROSA PARA TODES 8ML,E,,"3,66","13,90","13,90"
7891350037593,ESM RISQUE REVOLUCAO DAS CORES PREGUICA DE PADROES8ML,E,,"3,66","13,90","13,90"
7891350037609,ESM RISQUE REVOLUCAO DAS CORES DE PACIFICO SO O OCEANO8ML,E,,"3,66","13,90","13,90"
7891350037791,DES AERO MAN BOZZANO ANTI DRY 150ML,B,,"6,99","9,99","9,99"
7891350037791,DES AERO MAN BOZZANO ANTI DRY 150ML,E,,"6,84","9,99","9,99"
7891350037807,DES AERO MAN BOZZANO ANTI CARVAO 150ML,B,,"7,00","9,99","9,99"
7891350037807,DES AERO MAN BOZZANO ANTI CARVAO 150ML,C,,"6,84","9,99","9,99"
7891350037814,ESM RISQUE FRIENDS O TAXI DA PHOEB 8ML,E,,"4,24","5,95","5,95"
7891350037821,ESM RISQUE FRIENDS HOW YOU DOIN,E,,"4,24","5,95","5,95"
7891350037838,ESM RISQUE FRIENDS APARTAMENTO 20,E,,"4,24","5,95","5,95"
7891350037845,ESM RISQUE FRIENDS CAFE CENTRAL PERK ,E,,"4,24","5,95","5,95"
7891350037852,ESM RISQUE FRIENDS SOFA COM AMIGOS,E,,"4,24","5,95","5,95"
7891350037869,ESM RISQUE FRIENDS OH MY GOD,E,,"3,99","5,95","5,95"
7891350038057,ESM RISQUE DEUSAS INSP INSPIRACAO DIVINA 8ML,E,,"3,13","5,50","5,50"
7891350038064,ESM RISQUE DEUSAS INSP PELO AMOR DA DEUSA 8ML,E,,"3,98","5,50","5,50"
7891350038071,ESM RISQUE DEUSAS INSP FORCA CELESTIAL 8ML,E,,"3,25","5,50","5,50"
7891350038088,ESM RISQUE DEUSAS INSP SORORIDEUSAS 8ML,E,,"3,95","5,50","5,50"
7891350038095,ESM RISQUE DEUSAS INSP PODER MUITAS 8ML,E,,"3,89","5,50","5,50"
7891350038101,ESM RISQUE DEUSAS INSP TODAS POR UMA 8ML,E,,"3,20","5,50","5,50"
7891350038293,ESM RISQUE GUERRA DO ARCO IRIS 8ML,D,,"3,13","4,90","4,90"
7891350038309,ESM RISQUE MPOUPE QUEM MEDERA 8ML,E,,"3,08","4,60","4,60"
7891350038316,ESM RISQUE CHIK POP 8ML,C,,"3,13","4,60","4,60"
7891350038316,ESM RISQUE CHIK POP 8ML,D,,"3,13","4,60","4,60"
7891350038323,ESM RISQUE MOLETOM E SALTO 8ML,E,,"3,16","4,60","4,60"
7891350038330,ESM RISQUE EU SOU ESSE GLAM TDO 8ML,C,,"3,11","4,60","4,60"
7891350038347,ESM RISQUE VERMELHO FELICIDADE 8ML,C,,"3,09","4,60","4,60"
7891350038347,ESM RISQUE VERMELHO FELICIDADE 8ML,D,,"3,13","4,60","4,60"
7891350038545,"ESM RISQUE DGEL MEU MOSCOW MULE 9,5",E,,"6,60","9,50","9,50"
7891350038552,"ESM RISQUE DGEL GIN & SUNSET 9,5",E,,"6,60","9,50","9,50"
7891350038569,"ESM RISQUE GEL BLOODY MARY VIB 9,5",E,,"7,42","10,90","10,90"
7891350038613,DES AERO MAN CLINICAL BOZZANO CLEAN 150ML,D,,"7,63","9,99","9,99"
7891350038620,DES AERO MAN CLINICAL BOZZANO ULTRA COOL 150ML,C,,"6,77","10,99","10,99"
7891350038620,DES AERO MAN CLINICAL BOZZANO ULTRA COOL 150ML,E,,"7,43","10,99","10,99"
7891350038873,TIN BIOCOLOR HOMEM BOZZANO REDUÇÃO DOS GRISALHOS ,E,,"23,60","35,90","35,90"
7891350038880,TONALIZANTE BIOCOLOR HOMEM LOURO ESCURO 60ML,E,,"17,74","26,90","26,90"
7891350038897,TIN BIOCOLOR HOMEM BOZZANO CASTANHO CLARO,E,,"17,31","34,90","34,90"
7891350038903,TIN BIOCOLOR HOMEM BOZZANO CASTANHO MEDIO ,D,,"17,78","34,90","34,90"
7891350038903,TIN BIOCOLOR HOMEM BOZZANO CASTANHO MEDIO ,E,,"17,04","34,90","34,90"
7891350038910,TONALIZANTE BIOCOLOR HOMEM BOZZANO CASTANHO ESCURO 60ML,E,,"20,04","34,90","34,90"
7891350038927,TIN BIOCOLOR HOMEM BOZZANO PRETO ,E,,"18,87","34,90","34,90"
7891350038934,TIN KOLESTON CASTANHO CREPUSCULO COR 415 ,E,,"15,92","19,90","19,90"
7891350038972,ESM RISQUE IZA ESSE MARROM E MEU 8ML,E,,"4,20","6,30","6,30"
7891350038989,ESM RISQUE IZA IMPERATRIZ 8ML,D,,"4,20","6,30","6,30"
7891350038989,ESM RISQUE IZA IMPERATRIZ 8ML,E,,"4,20","6,30","6,30"
7891350038996,ESM RISQUE IZA AZUL PESADAO 8ML,E,,"4,20","6,30","6,30"
7891350039009,ESM RISQUE IZA BR.IZA 8ML,E,,"4,20","6,30","6,30"
7891350039016,ESM RISQUE IZA A VOZ DO GUETO 8ML,E,,"4,20","5,90","5,90"
7891350039023,ESM RISQUE IZA CHEIA DE GINGA 8ML,E,,"4,20","6,30","6,30"
7891350039337,ESM RISQUE CARE SECAGEM EXPRESS 8ML,B,,"5,58","9,95","9,95"
7891350039399,BASE RISQUE BIO 9ML C/9ML,E,,"6,90","9,90","9,90"
7891350039405,ESM RISQUE BIO LIRIO BRANCO 9ML LIRIO BRAN C/ 9ML,E,,"6,90","9,90","9,90"
7891350039429,ESM RISQUE BIO PIMENTA CAIENA 9ML ESMALTE RISQUE NU BIO PIM,E,,"6,90","9,90","9,90"
7891350039702,ESM RISQUE NOSSO METAVERSO ON E ROTEANDO 8ML,E,,"4,65","6,50","6,50"
7891350039719,ESM RISQUE NOSSO METAVERSO MEU AVATAR MINHAS REGRAS 8ML,E,,"4,65","6,50","6,50"
7891350039726,ESM RISQUE NOSSO METAVERSO CRIPTO ROSA 8ML,C,,"3,13","6,50","6,50"
7891350039726,ESM RISQUE NOSSO METAVERSO CRIPTO ROSA 8ML,E,,"3,13","6,50","6,50"
7891350039733,ESM RISQUE NOSSO METAVERSO HITOU NA NFT 8ML,E,,"4,65","6,50","6,50"
7891350039740,ESM RISQUE NOSSO METAVERSO START NO SEU PODER 8ML,E,,"4,65","6,50","6,50"
7891350039757,ESM RISQUE NOSSO METAVERSO PRECONCEITO FLOPOU 8ML,E,,"4,65","1,99","1,99"
7891350039955,SH BOZZANO ANTICASPA 3 EM 1 200ML,E,,"11,54","18,50","18,50"
7891350039979,SH BOZZANO ANTIQUEDA 3 EM 1 200ML,E,,"9,96","18,50","18,50"
7891350040036,ESM RISQUE REIVENTE O NORMAL PADRAOZINHO PRA QUEM 8ML,E,,"5,40","7,60","7,60"
7891350040043,ESM RISQUE REIVENTE O NORMAL SEM FILTRO 8ML,E,,"5,60","7,60","7,60"
7891350040050,ESM RISQUE REIVENTE O NORMAL COMIGO NINGUEM COBRE 8ML,E,,"5,32","7,60","7,60"
7891350040067,ESM RISQUE REIVENTE O NORMAL NAO ME ROTULE 8ML,E,,"5,40","7,60","7,60"
7891350040074,ESM RISQUE REIVENTE O NORMAL POLITICAMENTE COLORIDA 8ML,E,,"5,40","7,60","7,60"
7891350040081,ESM RISQUE REIVENTE O NORMAL FORA DA CAIXINHA 8ML,E,,"5,40","7,60","7,60"
7891350040098,ESM RISQUE REIVENTE O NORMAL GERAÇAO CTRL Z 8ML,E,,"5,40","7,60","7,60"
7891350040104,ESM RISQUE REIVENTE O NORMAL NEON GENDER 8ML,D,,"5,40","7,60","7,60"
7891350040104,ESM RISQUE REIVENTE O NORMAL NEON GENDER 8ML,E,,"5,40","7,60","7,60"
7891350040357,ESM RISQUE LIVRE PARA BRILHAR CAPRICHA NO GLOW 8ML,E,,"5,81","8,50","8,50"
7891350040364,ESM RISQUE LIVRE PARA BRILHAR CRAVEJADA NO GLITTER 8ML,E,,"5,81","8,50","8,50"
7891350040371,ESM RISQUE LIVRE PARA BRILHAR DONA DA FESTA 8ML,E,,"5,91","8,50","8,50"
7891350040388,ESM RISQUE LIVRE PARA BRILHAR CHEGA E ARRASA 8ML,E,,"6,16","8,50","8,50"
7891350040395,ESM RISQUE LIVRE PARA BRILHAR DE PAETE NA AVENIDA 8ML,E,,"5,91","8,50","8,50"
7891350040401,ESM RISQUE LIVRE PARA BRILHAR METALICO JA ACORDO DIVANDO 8ML,E,,"5,91","8,50","8,50"
7891350040487,ESM RISQUE NOVA COR A.MAR 8ML,C,,"3,09","4,60","4,60"
7891350040487,ESM RISQUE NOVA COR A.MAR 8ML,E,,"3,09","4,60","4,60"
7891350040494,ESM RISQUE NOVA COR SE SOLTA NO BLUES 8ML,D,,"3,13","4,60","4,60"
7891350040494,ESM RISQUE NOVA COR SE SOLTA NO BLUES 8ML,E,,"3,23","4,60","4,60"
7891350040500,ESM RISQUE NOVA COR LOOK DO DIA GOOD VIBES 8ML,C,,"3,13","4,60","4,60"
7891350040500,ESM RISQUE NOVA COR LOOK DO DIA GOOD VIBES 8ML,E,,"3,13","4,60","4,60"
7891350040517,ESM RISQUE NOVA COR ANTES SOL QUE MAL ILUMINADA 8ML,D,,"3,13","4,60","4,60"
7891350040517,ESM RISQUE NOVA COR ANTES SOL QUE MAL ILUMINADA 8ML,E,,"3,20","4,60","4,60"
7891350040524,ESM RISQUE NOVA COR ROXO SEM CRISE 8ML,D,,"3,18","4,60","4,60"
7891350040531,ESM RISQUE VOLTEI MENTA.LIZA 8ML,E,,"3,14","4,60","4,60"
7891350040876,"ESM RISQUE GEL NOITES ILUMINADAS MEIA NOITE EM PARIS 9,5ML",E,,"9,12","12,99","12,99"
7891350040883,"ESM RISQUE GEL NOITES ILUMINADAS KARAOKE EM TOQUIO 9,5ML",E,,"9,12","12,99","12,99"
7891350040890,"ESM RISQUE GEL NOITES ILUMINADAS ANO NOVO NO RIO 9,5ML",E,,"9,12","12,99","12,99"
7891350041095,"ESM RISQUE DIAMOND GEL SEDA LILAS 9,5ML",C,,"6,62","9,90","9,90"
7891350041101,"ESM RISQUE DIAMOND GEL LICOR DE CRANBERRY 9,5ML",C,,"6,54","9,90","9,90"
7891350041200,"ESM RISQUE DIAMOND GEL TOP COAT EFEITO CRISTAL 9,5ML",B,,"8,73","12,90","12,90"
7891350041200,"ESM RISQUE DIAMOND GEL TOP COAT EFEITO CRISTAL 9,5ML",D,,"8,73","12,90","12,90"
7891350041217,"ESM RISQUE DIAMOND GEL TOP COAT EFEITO PAETE 9,5ML",D,,"8,73","12,90","12,90"
7891350041873,ESM RISQUE HOJE SIM AMANHA TALVEZ 8ML,D,,"3,13","4,90","4,90"
7891350042153,ESM RISQUE BRIDGERTON O ESCANDALO DE WHISTLEDOWN 8ML,E,,"4,75","7,50","7,50"
7891350042160,ESM RISQUE BRIDGERTON REGENDO MINHA HISTORIA 8ML,E,,"4,75","7,50","7,50"
7891350042177,ESM RISQUE BRIDGERTON A VEZ DA PENELOPE 8ML,E,,"4,75","7,50","7,50"
7891350042184,ESM RISQUE BRIDGERTON UMA ABELHA ME CONTOU 8ML,E,,"4,75","7,50","7,50"
7891350042191,ESM RISQUE BRIDGERTON SUA MAJESTADE A RAINHA 8ML,E,,"4,75","7,50","7,50"
7891350042207,ESM RISQUE BRIDGERTON DIAMANTE DA TEMPORADA 8ML,E,,"4,75","7,50","7,50"
7891350042214,ESM RISQUE BRIDGERTON A AUTORA REVELADA 8ML,E,,"4,75","7,50","7,50"
7891350042221,ESM RISQUE BRIDGERTON QUERIDA LEITORA 8ML,D,,"4,75","7,50","7,50"
7891350042221,ESM RISQUE BRIDGERTON QUERIDA LEITORA 8ML,E,,"4,75","7,50","7,50"
7891350042535,ESM RISQUE MEU JEITO A ARTISTA SOU EU 8ML,E,,"4,83","6,99","6,99"
7891350042542,ESM RISQUE MEU JEITO EITA COMO CRIA 8ML,E,,"4,85","6,99","6,99"
7891350042559,ESM RISQUE MEU JEITO FICA VAI TER ARCO-IRIS 8ML,D,,"4,83","6,99","6,99"
7891350042559,ESM RISQUE MEU JEITO FICA VAI TER ARCO-IRIS 8ML,E,,"4,83","6,99","6,99"
7891350042566,ESM RISQUE MEU JEITO VIVENDO DA MINHA ARTE 8ML,D,,"4,83","6,99","6,99"
7891350042566,ESM RISQUE MEU JEITO VIVENDO DA MINHA ARTE 8ML,E,,"5,15","6,99","6,99"
7891350042573,ESM RISQUE MEU JEITO MAR DE POSSIBILIDADES 8ML,E,,"4,95","6,99","6,99"
7891350042580,ESM RISQUE MEU JEITO ESTI ROSA 8ML,E,,"4,83","6,99","6,99"
7891350042818,ESM RISQUE VERDE ESMERALDA 8ML,C,,"3,13","4,90","4,90"
7891350042818,ESM RISQUE VERDE ESMERALDA 8ML,D,,"3,09","4,90","4,90"
7891350042832,ESM RISQUE OI SUMIDA 8ML,D,,"3,13","4,60","4,60"
7891350042832,ESM RISQUE OI SUMIDA 8ML,E,,"3,16","4,60","4,60"
7891350042931,ESM RISQUE LA VEM OUTRA PEROLA 8ML,C,,"3,13","4,90","4,90"
7891350042948,ESM RISQUE CHICLETE ME ESQUECE 8ML,C,,"3,13","4,90","4,90"
7891350043013,ESM RISQUE DORITOS TRIANGULUM 8ML,E,,"4,47","6,90","6,90"
7891350043020,ESM RISQUE DORITOS ULTIMO DORITOS DO PACOTE 8ML,D,,"4,49","6,90","6,90"
7891350043037,ESM RISQUE DORITOS SOU TOPPING 8ML,E,,"4,47","6,90","6,90"
7891350043044,ESM RISQUE DORITOS ROXO DE FOME 8ML,E,,"4,49","6,90","6,90"
7891350043051,ESM RISQUE DORITOS OUSADIA NA PONTA DOS DEDOS 8ML,D,,"4,49","6,90","6,90"
7891350043051,ESM RISQUE DORITOS OUSADIA NA PONTA DOS DEDOS 8ML,E,,"4,45","6,90","6,90"
7891350043068,ESM RISQUE DORITOS MUCHO NACHO 8ML,C,,"4,49","6,90","6,90"
7891350043068,ESM RISQUE DORITOS MUCHO NACHO 8ML,E,,"4,48","6,90","6,90"
7891350043075,ESM RISQUE DORITOS NADA OBVIO 8ML,D,,"4,49","6,90","6,90"
7891350043075,ESM RISQUE DORITOS NADA OBVIO 8ML,E,,"4,48","6,90","6,90"
7891350043082,ESM RISQUE DORITOS ATE A ULTIMA TORTILHA 8ML,E,,"4,49","6,90","6,90"
7891350043822,"ESM RISQUE GEL MEU JARDIM MAGICO PODER QUE FLORECE 9,5ML",E,,"8,83","12,99","12,99"
7891350043839,"ESM RISQUE GEL MEU JARDIM MAGICO VEJO FLORES EM MIM 9,5ML ",C,,"8,83","12,99","12,99"
7891350043846,"ESM RISQUE GEL MEU JARDIM MAGICO MEU MUNDO ENCANTADO 9,5ML",D,,"8,83","12,99","12,99"
7891350043853,"ESM RISQUE GEL MEU JARDIM MAGICO MIST DAS BORBOLETAS 9,5ML",C,,"9,38","14,99","14,99"
7891350043860,"ESM RISQUE GEL MEU JARDIM MAGICO INTUICAO E MAGIA 9,5ML ",C,,"9,38","14,99","14,99"
7891350043877,"ESM RISQUE GEL MEU JARDIM MAGICO DANCA DAS FADAS 9,5ML",C,,"10,04","14,99","14,99"
7891350045239,ESM RISQUE MANICORES FACO O PINX EM CASA 8ML,C,,"3,59","5,99","5,99"
7891350045239,ESM RISQUE MANICORES FACO O PINX EM CASA 8ML,E,,"4,49","5,99","5,99"
7891350045246,ESM RISQUE MANICORES SE LIBERTA DO BASICO 8ML,D,,"4,49","5,99","5,99"
7891350045253,ESM RISQUE MANICORES UM DIA AMADURECO 8ML,D,,"3,59","5,99","5,99"
7891350045253,ESM RISQUE MANICORES UM DIA AMADURECO 8ML,E,,"4,49","5,99","5,99"
7891350045260,ESM RISQUE MANICORES RECUPEREI A DIGNIDADE 8ML,C,,"4,49","5,99","5,99"
7891350045260,ESM RISQUE MANICORES RECUPEREI A DIGNIDADE 8ML,E,,"4,49","5,99","5,99"
7891350045277,ESM RISQUE MANICORES CREDITA NO BRILHO 8ML,C,,"3,59","5,99","5,99"
7891350045277,ESM RISQUE MANICORES CREDITA NO BRILHO 8ML,E,,"4,49","5,99","5,99"
7891350045284,ESM RISQUE MANICORES ESMALTERAPIA 8ML,C,,"4,04","5,99","5,99"
7891350045284,ESM RISQUE MANICORES ESMALTERAPIA 8ML,E,,"3,59","5,99","5,99"
7891350045291,ESM RISQUE MANICORES JOGA P/ UNIVERSO 8ML,C,,"4,49","5,99","5,99"
7891350045307,ESM RISQUE MANICORES NAO ESQUECE DO GRITTI 8ML,D,,"4,49","5,99","5,99"
7891350045307,ESM RISQUE MANICORES NAO ESQUECE DO GRITTI 8ML,E,,"4,49","5,99","5,99"
7891360303763,CORRETIVO FABER-CASTELL ECO 18ML,E,,"4,19","4,19","4,19"
7891360613589,CANETA ESFEROGRAFICA TRILUX PONTA FINA PT/VM/AZ BL.C/03 SM/T,E,,"4,99","7,49","7,49"
7891360634560,LAPIS PRETO TRIANGULAR ECOLAPIS GRIP 2001 PRETO,E,,"3,90","3,90","3,90"
7891452375166,SUPL ALIMENTAR GOOD VIT FIGALON SILIMARINA C/60 CAPS ,C,ACÃO VITAMINAS,"26,97","59,90","59,90"
7891452375166,SUPL ALIMENTAR GOOD VIT FIGALON SILIMARINA C/60 CAPS ,E,ACÃO VITAMINAS,"26,95","59,90","59,90"
7891463000347,SERINGA BD S/AGULHA 3ML,A,,"0,40","1,50","1,50"
7891463000347,SERINGA BD S/AGULHA 3ML,B,,"0,40","1,50","1,50"
7891463000378,SERINGA BD S/AGULHA 10ML,B,,"0,87","2,69","2,69"
7891463000408,SERINGA BD S/AGULHA 20ML,B,,"1,37","4,99","4,99"
7891463000408,SERINGA BD S/AGULHA 20ML,C,,"1,48","4,99","4,99"
